Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
BoldKey Login Page,Chrome 66.0.3359.139,,2018-05-22 15:10:38,2018-05-22 15:11:41,1m - 3.291s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:10:38,2018-05-22 15:11:00,21.711s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:10:39,2018-05-22 15:10:54,15.067s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:10:54,2018-05-22 15:10:55,0.981s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:10:55,2018-05-22 15:11:00,4.830s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:00,2018-05-22 15:11:05,5.339s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:00,2018-05-22 15:11:00,0.002s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:00,2018-05-22 15:11:01,0.651s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:01,2018-05-22 15:11:05,4.465s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:05,2018-05-22 15:11:10,5.154s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:05,2018-05-22 15:11:05,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:05,2018-05-22 15:11:06,0.945s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:06,2018-05-22 15:11:10,3.997s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:10,2018-05-22 15:11:14,3.656s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:11,2018-05-22 15:11:11,0.002s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:11,2018-05-22 15:11:11,0.650s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:11,2018-05-22 15:11:14,2.783s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:14,2018-05-22 15:11:23,8.735s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:14,2018-05-22 15:11:14,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:14,2018-05-22 15:11:15,0.642s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:15,2018-05-22 15:11:23,7.970s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:23,2018-05-22 15:11:26,3.261s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:23,2018-05-22 15:11:23,0.000s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:23,2018-05-22 15:11:23,0.471s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:23,2018-05-22 15:11:26,2.681s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:26,2018-05-22 15:11:31,4.795s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:26,2018-05-22 15:11:26,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:26,2018-05-22 15:11:27,0.677s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:27,2018-05-22 15:11:31,3.983s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:31,2018-05-22 15:11:36,4.736s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:31,2018-05-22 15:11:31,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:31,2018-05-22 15:11:32,0.736s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:32,2018-05-22 15:11:36,3.836s,PASSED
,,,,,,
Test Cases/Bold Key Login Page/Negative Case/Login Fail - Button 1,Chrome 66.0.3359.139,,2018-05-22 15:11:36,2018-05-22 15:11:40,4.469s,PASSED
Statement - If (openBrowser == false),Chrome 66.0.3359.139,,2018-05-22 15:11:36,2018-05-22 15:11:36,0.001s,PASSED
callTestCase,Chrome 66.0.3359.139,,2018-05-22 15:11:36,2018-05-22 15:11:36,0.620s,PASSED
Statement - switch (data_expectedresult.toString()),Chrome 66.0.3359.139,,2018-05-22 15:11:36,2018-05-22 15:11:40,3.753s,PASSED
