Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Boldkey Activity Module,Chrome 67.0.3396.99,,2018-08-14 16:56:44,2018-08-14 16:57:28,44.415s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Activity Page/Add new activity - Select consent,Chrome 67.0.3396.99,,2018-08-14 16:56:44,2018-08-14 16:57:19,34.572s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 16:56:45,2018-08-14 16:57:02,16.671s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 16:57:02,2018-08-14 16:57:05,3.215s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:05,2018-08-14 16:57:14,8.992s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:14,2018-08-14 16:57:15,0.613s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:15,2018-08-14 16:57:15,0.464s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:15,2018-08-14 16:57:15,0.301s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 16:57:15,2018-08-14 16:57:17,2.003s,PASSED
"Statement - If (inputChannels.toLowerCase() == ""false"")",Chrome 67.0.3396.99,,2018-08-14 16:57:17,2018-08-14 16:57:17,0.002s,PASSED
"Statement - Else If (inputChannels.toLowerCase() == ""true"")",Chrome 67.0.3396.99,,2018-08-14 16:57:17,2018-08-14 16:57:18,0.199s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:18,2018-08-14 16:57:18,0.136s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:18,2018-08-14 16:57:19,1.186s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - All Steps,Chrome 67.0.3396.99,,2018-08-14 16:57:19,2018-08-14 16:57:24,4.676s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:19,2018-08-14 16:57:20,0.306s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:20,2018-08-14 16:57:20,0.437s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:20,2018-08-14 16:57:20,0.165s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:20,2018-08-14 16:57:21,0.890s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:21,2018-08-14 16:57:21,0.331s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:21,2018-08-14 16:57:22,0.432s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:22,2018-08-14 16:57:22,0.406s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:22,2018-08-14 16:57:23,0.420s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:23,2018-08-14 16:57:23,0.141s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:23,2018-08-14 16:57:24,0.838s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - Multiple,Chrome 67.0.3396.99,,2018-08-14 16:57:24,2018-08-14 16:57:28,4.468s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:24,2018-08-14 16:57:24,0.190s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:24,2018-08-14 16:57:25,0.511s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:25,2018-08-14 16:57:25,0.400s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:25,2018-08-14 16:57:26,0.230s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 16:57:26,2018-08-14 16:57:26,0.374s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:26,2018-08-14 16:57:26,0.163s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 16:57:26,2018-08-14 16:57:27,0.981s,PASSED
closeBrowser,Chrome 67.0.3396.99,,2018-08-14 16:57:27,2018-08-14 16:57:28,1.010s,PASSED
