Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activity Module - Add multiple template,Chrome 67.0.3396.99,,2018-08-14 17:31:56,2018-08-14 17:32:52,55.979s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Activity Page/Add new activity - Select consent,Chrome 67.0.3396.99,,2018-08-14 17:31:57,2018-08-14 17:32:45,48.409s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:31:58,2018-08-14 17:32:20,22.094s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 17:32:20,2018-08-14 17:32:23,3.822s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:23,2018-08-14 17:32:39,15.543s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:39,2018-08-14 17:32:40,0.750s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:40,2018-08-14 17:32:40,0.692s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:40,2018-08-14 17:32:41,0.494s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 17:32:41,2018-08-14 17:32:43,2.003s,PASSED
"Statement - If (inputChannels.toLowerCase() == ""false"")",Chrome 67.0.3396.99,,2018-08-14 17:32:43,2018-08-14 17:32:43,0.003s,PASSED
"Statement - Else If (inputChannels.toLowerCase() == ""true"")",Chrome 67.0.3396.99,,2018-08-14 17:32:43,2018-08-14 17:32:43,0.319s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:43,2018-08-14 17:32:43,0.198s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:43,2018-08-14 17:32:45,1.763s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - Multiple,Chrome 67.0.3396.99,,2018-08-14 17:32:45,2018-08-14 17:32:51,5.683s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:46,2018-08-14 17:32:46,0.289s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:46,2018-08-14 17:32:47,0.668s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:47,2018-08-14 17:32:47,0.300s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:47,2018-08-14 17:32:48,0.910s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:48,2018-08-14 17:32:48,0.398s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:48,2018-08-14 17:32:49,0.561s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:49,2018-08-14 17:32:49,0.495s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 17:32:49,2018-08-14 17:32:50,0.643s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:50,2018-08-14 17:32:50,0.202s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 17:32:50,2018-08-14 17:32:51,0.862s,PASSED
