Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Activity Module - Add one template,Chrome 67.0.3396.99,,2018-08-14 18:33:11,2018-08-14 18:34:08,57.399s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Activity Page/Add new activity - Select consent,Chrome 67.0.3396.99,,2018-08-14 18:33:12,2018-08-14 18:34:00,48.691s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 18:33:12,2018-08-14 18:33:33,20.751s,PASSED
callTestCase,Chrome 67.0.3396.99,,2018-08-14 18:33:33,2018-08-14 18:33:36,2.992s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:33:36,2018-08-14 18:33:54,18.295s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:33:54,2018-08-14 18:33:55,1.128s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 18:33:55,2018-08-14 18:33:56,0.432s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 18:33:56,2018-08-14 18:33:56,0.534s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 18:33:56,2018-08-14 18:33:58,2.002s,PASSED
"Statement - If (inputChannels.toLowerCase() == ""false"")",Chrome 67.0.3396.99,,2018-08-14 18:33:58,2018-08-14 18:33:58,0.003s,PASSED
"Statement - Else If (inputChannels.toLowerCase() == ""true"")",Chrome 67.0.3396.99,,2018-08-14 18:33:58,2018-08-14 18:33:59,0.249s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:33:59,2018-08-14 18:33:59,0.177s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:33:59,2018-08-14 18:34:00,1.409s,PASSED
,,,,,,
Test Cases/Boldkey Activity Module/Add Template Page/Add new template - One,Chrome 67.0.3396.99,,2018-08-14 18:34:00,2018-08-14 18:34:07,7.151s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 18:34:01,2018-08-14 18:34:01,0.274s,PASSED
setText,Chrome 67.0.3396.99,,2018-08-14 18:34:01,2018-08-14 18:34:01,0.403s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:34:01,2018-08-14 18:34:01,0.158s,PASSED
click,Chrome 67.0.3396.99,,2018-08-14 18:34:01,2018-08-14 18:34:02,0.878s,PASSED
delay,Chrome 67.0.3396.99,,2018-08-14 18:34:02,2018-08-14 18:34:07,5.002s,PASSED
